"Event","Match_ID","Comp1","Comp2"
"Women's Tournament",746579,"Czech Republic","China"
"Women's Tournament",746572,"Canada","Switzerland"
"Women's Tournament",746574,"Sweden","Japan"
"Women's Tournament",746569,"Finland","United States"
"Women's Tournament",746570,"ROC","Switzerland"
"Women's Tournament",746576,"Denmark","China"
"Women's Tournament",746573,"Canada","Finland"
"Women's Tournament",746575,"Japan","Denmark"
"Women's Tournament",746578,"Czech Republic","Sweden"
"Women's Tournament",746568,"United States","ROC"
"Women's Tournament",746577,"China","Japan"
"Women's Tournament",746571,"Switzerland","United States"
"Women's Tournament",747024,"ROC","Canada"
"Women's Tournament",747028,"Denmark","Czech Republic"
"Women's Tournament",747029,"China","Sweden"
"Women's Tournament",747025,"Switzerland","Finland"
"Women's Tournament",747026,"United States","Canada"
"Women's Tournament",747030,"Japan","Czech Republic"
"Women's Tournament",747031,"Sweden","Denmark"
"Women's Tournament",747027,"Finland","ROC"
"Men's Tournament",746609,"ROC","Switzerland"
"Men's Tournament",746611,"Czech Republic","Denmark"
"Men's Tournament",746601,"Sweden","Latvia"
"Men's Tournament",746603,"Finland","Slovakia"
"Men's Tournament",746612,"Canada","Germany"
"Men's Tournament",746617,"United States","China"
"Men's Tournament",746608,"Denmark","ROC"
"Women's Tournament",747021,"United States","Czech Republic"
"Men's Tournament",746600,"Sweden","Slovakia"
"Men's Tournament",746610,"Czech Republic","Switzerland"
"Men's Tournament",746602,"Latvia","Finland"
"Women's Tournament",747020,"Canada","Sweden"
"Men's Tournament",746615,"Canada","United States"
"Women's Tournament",747022,"ROC","Switzerland"
"Women's Tournament",747023,"Finland","Japan"
"Men's Tournament",746616,"Germany","China"
"Men's Tournament",746607,"Switzerland","Denmark"
"Men's Tournament",746606,"ROC","Czech Republic"
"Men's Tournament",746604,"Slovakia","Latvia"
"Men's Tournament",746605,"Finland","Sweden"
"Men's Tournament",746614,"China","Canada"
"Men's Tournament",746613,"United States","Germany"
"Women's Tournament",746582,"Canada","Switzerland"
"Women's Tournament",746583,"United States","Finland"
"Men's Tournament",746593,"Denmark","Latvia"
"Men's Tournament",746590,"Slovakia","Germany"
"Men's Tournament",746592,"Czech Republic","Switzerland"
"Men's Tournament",746591,"Canada","China"
"Men's Tournament",746599,"United States","Slovakia"
"Men's Tournament",746598,"ROC","Denmark"
"Men's Tournament",746597,"Finland","Switzerland"
"Women's Tournament",746586,"Finland","Switzerland"
"Men's Tournament",746596,"Sweden","Canada"
"Women's Tournament",746587,"Canada","United States"
"Men's Tournament",746595,"Finland","Slovakia"
"Men's Tournament",746594,"ROC","Sweden"
"Men's Tournament",746618,"Sweden","Slovakia"
"Men's Tournament",746619,"Finland","ROC"
