"Event","MatchID","Team1","Team2"
"Women's Tournament",746568,"USA","ROC"
"Women's Tournament",746569,"FIN","USA"
"Women's Tournament",746570,"ROC","SUI"
"Women's Tournament",746571,"SUI","USA"
"Women's Tournament",746572,"CAN","SUI"
"Women's Tournament",746573,"CAN","FIN"
"Women's Tournament",746574,"SWE","JPN"
"Women's Tournament",746575,"JPN","DEN"
"Women's Tournament",746576,"DEN","CHN"
"Women's Tournament",746577,"CHN","JPN"
"Women's Tournament",746578,"CZE","SWE"
"Women's Tournament",746579,"CZE","CHN"
"Women's Tournament",746582,"CAN","SUI"
"Women's Tournament",746583,"USA","FIN"
"Women's Tournament",746586,"FIN","SUI"
"Women's Tournament",746587,"CAN","USA"
"Men's Tournament",746590,"SVK","GER"
"Men's Tournament",746591,"CAN","CHN"
"Men's Tournament",746592,"CZE","SUI"
"Men's Tournament",746593,"DEN","LAT"
"Men's Tournament",746594,"ROC","SWE"
"Men's Tournament",746595,"FIN","SVK"
"Men's Tournament",746596,"SWE","CAN"
"Men's Tournament",746597,"FIN","SUI"
"Men's Tournament",746598,"ROC","DEN"
"Men's Tournament",746599,"USA","SVK"
"Men's Tournament",746600,"SWE","SVK"
"Men's Tournament",746601,"SWE","LAT"
"Men's Tournament",746602,"LAT","FIN"
"Men's Tournament",746603,"FIN","SVK"
"Men's Tournament",746604,"SVK","LAT"
"Men's Tournament",746605,"FIN","SWE"
"Men's Tournament",746606,"ROC","CZE"
"Men's Tournament",746607,"SUI","DEN"
"Men's Tournament",746608,"DEN","ROC"
"Men's Tournament",746609,"ROC","SUI"
"Men's Tournament",746610,"CZE","SUI"
"Men's Tournament",746611,"CZE","DEN"
"Men's Tournament",746612,"CAN","GER"
"Men's Tournament",746613,"USA","GER"
"Men's Tournament",746614,"CHN","CAN"
"Men's Tournament",746615,"CAN","USA"
"Men's Tournament",746616,"GER","CHN"
"Men's Tournament",746617,"USA","CHN"
"Men's Tournament",746618,"SWE","SVK"
"Men's Tournament",746619,"FIN","ROC"
"Women's Tournament",747020,"CAN","SWE"
"Women's Tournament",747021,"USA","CZE"
"Women's Tournament",747022,"ROC","SUI"
"Women's Tournament",747023,"FIN","JPN"
"Women's Tournament",747024,"ROC","CAN"
"Women's Tournament",747025,"SUI","FIN"
"Women's Tournament",747026,"USA","CAN"
"Women's Tournament",747027,"FIN","ROC"
"Women's Tournament",747028,"DEN","CZE"
"Women's Tournament",747029,"CHN","SWE"
"Women's Tournament",747030,"JPN","CZE"
"Women's Tournament",747031,"SWE","DEN"
