"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming"
1, 642928,"SCHOUTEN Irene","SCHOUTEN I","Irene","Schouten","252",20,    1, 2201,Netherlands,NED, 1, 1,"1","3:56.93","3:56.93",236930,    0,TRUE,FALSE
1, 703475,"LOLLOBRIGIDA Francesca","LOLLOBRIGIDA F","Francesca","Lollobrigida","230",19,    6, 2210,Italy,ITA, 2, 2,"2","3:58.06","3:58.06",238060, 1130,TRUE,FALSE
1,1228816,"WEIDEMANN Isabelle","WEIDEMANN I","Isabelle","Weidemann","215",17,  159, 2231,Canada,CAN, 3, 3,"3","3:58.64","3:58.64",238640, 1710,TRUE,FALSE
1, 210868,"SABLIKOVA Martina","SABLIKOVA M","Martina","Sáblíková","225",15,   17, 2240,Czech Republic,CZE, 4, 4,"4","4:00.34","4:00.34",240340, 3410,TRUE,FALSE
1,1559989,"WIKLUND Ragne","WIKLUND R","Ragne","Wiklund","258",18,  153, 2221,Norway,NOR, 5, 5,"5","4:01.44","4:01.44",241440, 4510,TRUE,FALSE
1, 723414,"TAKAGI Miho","TAKAGI M","Miho","Takagi","237", 5,   18, 2241,Japan,JPN, 6, 6,"6","4:01.77","4:01.77",241770, 4840,TRUE,FALSE
1, 218037,"ACHTEREEKTE Carlijn","ACHTEREEKTE C","Carlijn","Achtereekte","245", 6,    1, 2201,Netherlands,NED, 7, 7,"7","4:02.21","4:02.21",242210, 5280,TRUE,FALSE
1, 816627,"DE JONG Antoinette","DE JONG A","Antoinette","de Jong","246",12,    1, 2201,Netherlands,NED, 8, 8,"8","4:02.37","4:02.37",242370, 5440,TRUE,FALSE
1,1146729,"SATO Ayano","SATO A","Ayano","Sato","236",11,   18, 2241,Japan,JPN, 9, 9,"9","4:03.40","4:03.40",243400, 6470,TRUE,FALSE
1, 699664,"LALENKOVA Evgenia","LALENKOVA E","Evgenia","Lalenkova","269", 8,23062,73035,ROC,ROC,10,10,"10","4:03.42","4:03.42",243420, 6490,TRUE,FALSE
1,1246989,"VORONINA Natalya","VORONINA N","Natalya","Voronina","271",10,23062,73035,ROC,ROC,11,11,"11","4:03.84","4:03.84",243840, 6910,TRUE,FALSE
1, 751659,"MALTAIS Valerie","MALTAIS V","Valérie","Maltais","210", 9,  159, 2231,Canada,CAN,12,12,"12","4:04.27","4:04.27",244270, 7340,TRUE,FALSE
1,1453623,"MOROZOVA Nadezhda","MOROZOVA N","Nadezhda","Morozova","240", 4,  160, 2236,Kazakhstan,KAZ,13,13,"13","4:04.97","4:04.97",244970, 8040,TRUE,FALSE
1, 652005,"BLONDIN Ivanie","BLONDIN I","Ivanie","Blondin","208",16,  159, 2231,Canada,CAN,14,14,"14","4:06.40","4:06.40",246400, 9470,TRUE,FALSE
1,1146730,"HAN Mei","HAN M","Mei","Han","218",14,   26, 2770,China,CHN,15,15,"15","4:07.74","4:07.74",247740,10810,TRUE,FALSE
1, 985487,"ZUEVA Marina","ZUEVA M","Marina","Zueva","207",13,  103, 4387,Belarus,BLR,16,16,"16","4:08.70","4:08.70",248700,11770,TRUE,FALSE
1,1937824,"AHENAR Adake","AHENAR A","Adake","Ahenar","216", 1,   26, 2770,China,CHN,17,17,"17","4:12.28","4:12.28",252280,15350,TRUE,FALSE
1,1023494,"ZDRAHALOVA Nikola","ZDRAHALOVA N","Nikola","Zdráhalová","226", 7,   17, 2240,Czech Republic,CZE,18,18,"18","4:13.13","4:13.13",253130,16200,TRUE,FALSE
1, 481004,"MANGANELLO KILBURG Mia","MANGANELLO KILBURG M","Mia","Kilburg-Manganello","279", 3,    5, 2209,United States,USA,19,19,"19","4:13.42","4:13.42",253420,16490,TRUE,FALSE
1,  97209,"PECHSTEIN Claudia","PECHSTEIN C","Claudia","Pechstein","228", 2,    2, 2206,Germany,GER,20,20,"20","4:17.16","4:17.16",257160,20230,TRUE,FALSE
